Unnamed: 0,Dec_time,Dec_ZT_time,Condition,mean_binned_sleep,sem_binned_sleep,ZT_time_in_hours,Sleep_30min,SEM_30min
13,360,0,GR23E10>Dec2-P384R m1,0.0122580645,0.0070844602,0.0,0.367741935,0.212533806
14,390,30,GR23E10>Dec2-P384R m1,0.0529032258,0.0173727254,0.5,1.5870967740000002,0.521181762
15,420,60,GR23E10>Dec2-P384R m1,0.1494623656,0.0285865072,1.0,4.483870968000001,0.857595216
16,450,90,GR23E10>Dec2-P384R m1,0.2101075269,0.0327919472,1.5,6.3032258070000005,0.9837584159999999
17,480,120,GR23E10>Dec2-P384R m1,0.2184946237,0.033228414,2.0,6.554838711,0.99685242
18,510,150,GR23E10>Dec2-P384R m1,0.2176344086,0.0331188474,2.5,6.529032258,0.993565422
19,540,180,GR23E10>Dec2-P384R m1,0.2597849462,0.0350398738,3.0,7.793548385999999,1.0511962140000002
20,570,210,GR23E10>Dec2-P384R m1,0.247311828,0.0346494349,3.5,7.4193548400000005,1.039483047
21,600,240,GR23E10>Dec2-P384R m1,0.276344086,0.0359623731,4.0,8.29032258,1.078871193
22,630,270,GR23E10>Dec2-P384R m1,0.2984946237,0.0368186142,4.5,8.954838711,1.104558426
23,660,300,GR23E10>Dec2-P384R m1,0.2746236559,0.0355793258,5.0,8.238709677,1.067379774
24,690,330,GR23E10>Dec2-P384R m1,0.2692473118,0.0356432619,5.5,8.077419354,1.069297857
25,720,360,GR23E10>Dec2-P384R m1,0.3137634409,0.0372768526,6.0,9.412903227000001,1.118305578
26,750,390,GR23E10>Dec2-P384R m1,0.3412903226,0.0381229293,6.5,10.238709678,1.1436878789999998
27,780,420,GR23E10>Dec2-P384R m1,0.3427956989,0.0381892446,7.0,10.283870967,1.145677338
28,810,450,GR23E10>Dec2-P384R m1,0.3348387097,0.0379145662,7.5,10.045161291000001,1.137436986
29,840,480,GR23E10>Dec2-P384R m1,0.3105376344,0.0371558901,8.0,9.316129032,1.114676703
30,870,510,GR23E10>Dec2-P384R m1,0.3167741935,0.0373950173,8.5,9.503225805000001,1.121850519
31,900,540,GR23E10>Dec2-P384R m1,0.2948387097,0.0366414496,9.0,8.845161291,1.099243488
32,930,570,GR23E10>Dec2-P384R m1,0.2776344086,0.0359634869,9.5,8.329032258,1.0789046070000001
33,960,600,GR23E10>Dec2-P384R m1,0.1980645161,0.0320225636,10.0,5.941935483,0.9606769079999999
34,990,630,GR23E10>Dec2-P384R m1,0.168172043,0.0299349002,10.5,5.045161289999999,0.898047006
35,1020,660,GR23E10>Dec2-P384R m1,0.0909677419,0.0230502109,11.0,2.729032257,0.691506327
36,1050,690,GR23E10>Dec2-P384R m1,0.0638709677,0.0195250326,11.5,1.916129031,0.585750978
37,1080,720,GR23E10>Dec2-P384R m1,0.1643010753,0.0289932321,12.0,4.9290322589999995,0.869796963
38,1110,750,GR23E10>Dec2-P384R m1,0.5004301075,0.0393931582,12.5,15.012903225000002,1.181794746
39,1140,780,GR23E10>Dec2-P384R m1,0.7412903226,0.0351226834,13.0,22.238709678000003,1.053680502
40,1170,810,GR23E10>Dec2-P384R m1,0.8296774194,0.0300560214,13.5,24.890322582,0.901680642
41,1200,840,GR23E10>Dec2-P384R m1,0.891827957,0.0248148834,14.0,26.754838709999998,0.7444465020000001
42,1230,870,GR23E10>Dec2-P384R m1,0.8993548387,0.0241810958,14.5,26.980645160999998,0.725432874
43,1260,900,GR23E10>Dec2-P384R m1,0.8834408602,0.0256930477,15.0,26.503225806,0.7707914309999999
44,1290,930,GR23E10>Dec2-P384R m1,0.8858064516,0.0254492636,15.5,26.574193548,0.763477908
45,1320,960,GR23E10>Dec2-P384R m1,0.8877419355,0.0253846389,16.0,26.632258065000002,0.761539167
46,1350,990,GR23E10>Dec2-P384R m1,0.88,0.0261484042,16.5,26.4,0.784452126
47,1380,1020,GR23E10>Dec2-P384R m1,0.8924731183,0.0248474173,17.0,26.774193549,0.745422519
48,1410,1050,GR23E10>Dec2-P384R m1,0.8907526882,0.0251819015,17.5,26.722580646,0.755457045
1,0,1080,GR23E10>Dec2-P384R m1,0.8658064516,0.0272979,18.0,25.974193548000002,0.818937
2,30,1110,GR23E10>Dec2-P384R m1,0.8827956989,0.0258344617,18.5,26.483870966999998,0.775033851
3,60,1140,GR23E10>Dec2-P384R m1,0.9025806452,0.0237826849,19.0,27.077419356,0.713480547
4,90,1170,GR23E10>Dec2-P384R m1,0.8993548387,0.0239862889,19.5,26.980645160999998,0.719588667
5,120,1200,GR23E10>Dec2-P384R m1,0.9030107527,0.0237759016,20.0,27.090322581,0.713277048
6,150,1230,GR23E10>Dec2-P384R m1,0.9051612903,0.0234798455,20.5,27.154838709,0.704395365
7,180,1260,GR23E10>Dec2-P384R m1,0.8995698925,0.024164651,21.0,26.987096774999998,0.72493953
8,210,1290,GR23E10>Dec2-P384R m1,0.8810752688,0.0259658062,21.5,26.432258064,0.778974186
9,240,1320,GR23E10>Dec2-P384R m1,0.8176344086,0.0310158978,22.0,24.529032258,0.930476934
10,270,1350,GR23E10>Dec2-P384R m1,0.7847311828,0.0330509454,22.5,23.541935484,0.9915283619999999
11,300,1380,GR23E10>Dec2-P384R m1,0.7215053763,0.0360198175,23.0,21.645161289,1.080594525
12,330,1410,GR23E10>Dec2-P384R m1,0.5877419355,0.0353568502,23.5,17.632258065,1.060705506
