Date,Channel,Counts
2024-02-24,data_1,0.0
2024-02-25,data_1,0.0
2024-02-26,data_1,0.0
2024-02-27,data_1,0.0
2024-02-24,data_2,0.0
2024-02-25,data_2,0.0
2024-02-26,data_2,0.0
2024-02-27,data_2,0.0
2024-02-24,data_3,12936.0
2024-02-25,data_3,13459.0
2024-02-26,data_3,14480.0
2024-02-27,data_3,22332.0
2024-02-24,data_4,3830.0
2024-02-25,data_4,4505.0
2024-02-26,data_4,4974.0
2024-02-27,data_4,4814.0
2024-02-24,data_5,9277.0
2024-02-25,data_5,17518.0
2024-02-26,data_5,14200.0
2024-02-27,data_5,11883.0
2024-02-24,data_6,6754.0
2024-02-25,data_6,8717.0
2024-02-26,data_6,13696.0
2024-02-27,data_6,18053.0
2024-02-24,data_7,8116.0
2024-02-25,data_7,9796.0
2024-02-26,data_7,12093.0
2024-02-27,data_7,12522.0
2024-02-24,data_8,8306.0
2024-02-25,data_8,5370.0
2024-02-26,data_8,7789.0
2024-02-27,data_8,10084.0
2024-02-24,data_9,11292.0
2024-02-25,data_9,11416.0
2024-02-26,data_9,11087.0
2024-02-27,data_9,11225.0
2024-02-24,data_10,8429.0
2024-02-25,data_10,7439.0
2024-02-26,data_10,7415.0
2024-02-27,data_10,8750.0
2024-02-24,data_11,8614.0
2024-02-25,data_11,8513.0
2024-02-26,data_11,9207.0
2024-02-27,data_11,8598.0
2024-02-24,data_12,8946.0
2024-02-25,data_12,5783.0
2024-02-26,data_12,5246.0
2024-02-27,data_12,4086.0
2024-02-24,data_13,6488.0
2024-02-25,data_13,5722.0
2024-02-26,data_13,5338.0
2024-02-27,data_13,6813.0
2024-02-24,data_14,3434.0
2024-02-25,data_14,6880.0
2024-02-26,data_14,7451.0
2024-02-27,data_14,9327.0
2024-02-24,data_15,7747.0
2024-02-25,data_15,7568.0
2024-02-26,data_15,9297.0
2024-02-27,data_15,9655.0
2024-02-24,data_16,12649.0
2024-02-25,data_16,6200.0
2024-02-26,data_16,6172.0
2024-02-27,data_16,5986.0
2024-02-24,data_17,13496.0
2024-02-25,data_17,9803.0
2024-02-26,data_17,7977.0
2024-02-27,data_17,5056.0
2024-02-24,data_18,7720.0
2024-02-25,data_18,7937.0
2024-02-26,data_18,8377.0
2024-02-27,data_18,7925.0
2024-02-24,data_19,6936.0
2024-02-25,data_19,6697.0
2024-02-26,data_19,7208.0
2024-02-27,data_19,7798.0
2024-02-24,data_20,10048.0
2024-02-25,data_20,9246.0
2024-02-26,data_20,11258.0
2024-02-27,data_20,12803.0
2024-02-24,data_21,3529.0
2024-02-25,data_21,3617.0
2024-02-26,data_21,5838.0
2024-02-27,data_21,9057.0
2024-02-24,data_22,16543.0
2024-02-25,data_22,21208.0
2024-02-26,data_22,25299.0
2024-02-27,data_22,27066.0
2024-02-24,data_23,15169.0
2024-02-25,data_23,12542.0
2024-02-26,data_23,12041.0
2024-02-27,data_23,12546.0
2024-02-24,data_24,12450.0
2024-02-25,data_24,12650.0
2024-02-26,data_24,20878.0
2024-02-27,data_24,26041.0
2024-02-24,data_25,4519.0
2024-02-25,data_25,7066.0
2024-02-26,data_25,12378.0
2024-02-27,data_25,13896.0
2024-02-24,data_26,3783.0
2024-02-25,data_26,412.0
2024-02-26,data_26,146.0
2024-02-27,data_26,31.0
2024-02-24,data_27,12336.0
2024-02-25,data_27,9434.0
2024-02-26,data_27,9103.0
2024-02-27,data_27,10464.0
2024-02-24,data_28,13946.0
2024-02-25,data_28,14060.0
2024-02-26,data_28,15338.0
2024-02-27,data_28,17539.0
2024-02-24,data_29,8444.0
2024-02-25,data_29,6970.0
2024-02-26,data_29,9793.0
2024-02-27,data_29,13359.0
2024-02-24,data_30,14507.0
2024-02-25,data_30,13897.0
2024-02-26,data_30,15242.0
2024-02-27,data_30,16658.0
2024-02-24,data_31,4976.0
2024-02-25,data_31,3912.0
2024-02-26,data_31,4608.0
2024-02-27,data_31,5638.0
2024-02-24,data_32,8440.0
2024-02-25,data_32,9254.0
2024-02-26,data_32,9115.0
2024-02-27,data_32,12125.0
