"","Condition","variable","Light_cycle","mean_value"
"1","wt","Monitor9_ch3","LD",15801.75
"2","wt","Monitor9_ch4","LD",4530.75
"3","wt","Monitor9_ch5","LD",13219.5
"4","wt","Monitor9_ch6","LD",11805
"5","wt","Monitor9_ch7","LD",10631.75
"6","wt","Monitor9_ch8","LD",7887.25
"7","wt","Monitor9_ch9","LD",11255
"8","wt","Monitor9_ch10","LD",8008.25
"9","wt","Monitor9_ch11","LD",8733
"10","wt","Monitor9_ch12","LD",6015.25
"11","wt","Monitor9_ch13","LD",6090.25
"12","wt","Monitor9_ch14","LD",6773
"13","wt","Monitor9_ch15","LD",8566.75
"14","wt","Monitor9_ch16","LD",7751.75
"15","wt","Monitor9_ch17","LD",9083
"16","wt","Monitor9_ch18","LD",7989.75
"17","wt","Monitor9_ch19","LD",7159.75
"18","wt","Monitor9_ch20","LD",10838.75
"19","wt","Monitor9_ch21","LD",5510.25
"20","wt","Monitor9_ch22","LD",22529
"21","wt","Monitor9_ch23","LD",13074.5
"22","wt","Monitor9_ch24","LD",18004.75
"23","wt","Monitor9_ch25","LD",9464.75
"24","wt","Monitor9_ch27","LD",10334.25
"25","wt","Monitor9_ch28","LD",15220.75
"26","wt","Monitor9_ch29","LD",9641.5
"27","wt","Monitor9_ch30","LD",15076
"28","wt","Monitor9_ch31","LD",4783.5
"29","wt","Monitor9_ch32","LD",9733.5
