"","Condition","variable","Light_cycle","date","value"
"1","wt","Monitor9_ch1","LD",2024-02-24,0
"2","wt","Monitor9_ch1","LD",2024-02-25,0
"3","wt","Monitor9_ch1","LD",2024-02-26,0
"4","wt","Monitor9_ch1","LD",2024-02-27,0
"5","wt","Monitor9_ch2","LD",2024-02-24,0
"6","wt","Monitor9_ch2","LD",2024-02-25,0
"7","wt","Monitor9_ch2","LD",2024-02-26,0
"8","wt","Monitor9_ch2","LD",2024-02-27,0
"9","wt","Monitor9_ch3","LD",2024-02-24,12936
"10","wt","Monitor9_ch3","LD",2024-02-25,13459
"11","wt","Monitor9_ch3","LD",2024-02-26,14480
"12","wt","Monitor9_ch3","LD",2024-02-27,22332
"13","wt","Monitor9_ch4","LD",2024-02-24,3830
"14","wt","Monitor9_ch4","LD",2024-02-25,4505
"15","wt","Monitor9_ch4","LD",2024-02-26,4974
"16","wt","Monitor9_ch4","LD",2024-02-27,4814
"17","wt","Monitor9_ch5","LD",2024-02-24,9277
"18","wt","Monitor9_ch5","LD",2024-02-25,17518
"19","wt","Monitor9_ch5","LD",2024-02-26,14200
"20","wt","Monitor9_ch5","LD",2024-02-27,11883
"21","wt","Monitor9_ch6","LD",2024-02-24,6754
"22","wt","Monitor9_ch6","LD",2024-02-25,8717
"23","wt","Monitor9_ch6","LD",2024-02-26,13696
"24","wt","Monitor9_ch6","LD",2024-02-27,18053
"25","wt","Monitor9_ch7","LD",2024-02-24,8116
"26","wt","Monitor9_ch7","LD",2024-02-25,9796
"27","wt","Monitor9_ch7","LD",2024-02-26,12093
"28","wt","Monitor9_ch7","LD",2024-02-27,12522
"29","wt","Monitor9_ch8","LD",2024-02-24,8306
"30","wt","Monitor9_ch8","LD",2024-02-25,5370
"31","wt","Monitor9_ch8","LD",2024-02-26,7789
"32","wt","Monitor9_ch8","LD",2024-02-27,10084
"33","wt","Monitor9_ch9","LD",2024-02-24,11292
"34","wt","Monitor9_ch9","LD",2024-02-25,11416
"35","wt","Monitor9_ch9","LD",2024-02-26,11087
"36","wt","Monitor9_ch9","LD",2024-02-27,11225
"37","wt","Monitor9_ch10","LD",2024-02-24,8429
"38","wt","Monitor9_ch10","LD",2024-02-25,7439
"39","wt","Monitor9_ch10","LD",2024-02-26,7415
"40","wt","Monitor9_ch10","LD",2024-02-27,8750
"41","wt","Monitor9_ch11","LD",2024-02-24,8614
"42","wt","Monitor9_ch11","LD",2024-02-25,8513
"43","wt","Monitor9_ch11","LD",2024-02-26,9207
"44","wt","Monitor9_ch11","LD",2024-02-27,8598
"45","wt","Monitor9_ch12","LD",2024-02-24,8946
"46","wt","Monitor9_ch12","LD",2024-02-25,5783
"47","wt","Monitor9_ch12","LD",2024-02-26,5246
"48","wt","Monitor9_ch12","LD",2024-02-27,4086
"49","wt","Monitor9_ch13","LD",2024-02-24,6488
"50","wt","Monitor9_ch13","LD",2024-02-25,5722
"51","wt","Monitor9_ch13","LD",2024-02-26,5338
"52","wt","Monitor9_ch13","LD",2024-02-27,6813
"53","wt","Monitor9_ch14","LD",2024-02-24,3434
"54","wt","Monitor9_ch14","LD",2024-02-25,6880
"55","wt","Monitor9_ch14","LD",2024-02-26,7451
"56","wt","Monitor9_ch14","LD",2024-02-27,9327
"57","wt","Monitor9_ch15","LD",2024-02-24,7747
"58","wt","Monitor9_ch15","LD",2024-02-25,7568
"59","wt","Monitor9_ch15","LD",2024-02-26,9297
"60","wt","Monitor9_ch15","LD",2024-02-27,9655
"61","wt","Monitor9_ch16","LD",2024-02-24,12649
"62","wt","Monitor9_ch16","LD",2024-02-25,6200
