"","Dec_time","Dec_ZT_time","Condition","mean_binned_sleep","sem_binned_sleep"
"1",0,1080,"wt",0.7353448276,0.0410826628
"2",30,1110,"wt",0.7408045977,0.0407611241
"3",60,1140,"wt",0.7735632184,0.0389672706
"4",90,1170,"wt",0.7494252874,0.0403291646
"5",120,1200,"wt",0.7551724138,0.0400206855
"6",150,1230,"wt",0.7367816092,0.0408598847
"7",180,1260,"wt",0.6591954023,0.0438049321
"8",210,1290,"wt",0.5494252874,0.0463140292
"9",240,1320,"wt",0.5775862069,0.0458993195
"10",270,1350,"wt",0.4511494253,0.0463079063
"11",300,1380,"wt",0.4097701149,0.045799791
"12",330,1410,"wt",0.2879310345,0.0398857076
"13",360,0,"wt",0.0066091954,0.0050782938
"14",390,30,"wt",0.000862069,0.000862069
"15",420,60,"wt",0.0028735632,0.0023632627
"16",450,90,"wt",0.008908046,0.0068645284
"17",480,120,"wt",0.0290229885,0.0150594758
"18",510,150,"wt",0.0494252874,0.0197017427
"19",540,180,"wt",0.1034482759,0.0281295113
"20",570,210,"wt",0.1347701149,0.0316770965
"21",600,240,"wt",0.1643678161,0.0342952607
"22",630,270,"wt",0.2114942529,0.0379104272
"23",660,300,"wt",0.2477011494,0.0401430423
"24",690,330,"wt",0.2433908046,0.0397921691
"25",720,360,"wt",0.2778735632,0.0416679912
"26",750,390,"wt",0.2810344828,0.0418033952
"27",780,420,"wt",0.3028735632,0.0427584936
"28",810,450,"wt",0.3106321839,0.0430903913
"29",840,480,"wt",0.2376436782,0.0395988624
"30",870,510,"wt",0.2422413793,0.0397622712
"31",900,540,"wt",0.2158045977,0.0382404904
"32",930,570,"wt",0.2229885057,0.0387117941
"33",960,600,"wt",0.158908046,0.033830765
"34",990,630,"wt",0.1048850575,0.0283943953
"35",1020,660,"wt",0.0445402299,0.0186884492
"36",1050,690,"wt",0.0293103448,0.015386439
"37",1080,720,"wt",0.1715517241,0.0336137386
"38",1110,750,"wt",0.4557471264,0.0461883679
"39",1140,780,"wt",0.6204022989,0.0451758157
"40",1170,810,"wt",0.6695402299,0.0434162528
"41",1200,840,"wt",0.6887931034,0.043118361
"42",1230,870,"wt",0.6591954023,0.0440633326
"43",1260,900,"wt",0.6913793103,0.0428782323
"44",1290,930,"wt",0.7224137931,0.0416822021
"45",1320,960,"wt",0.6965517241,0.0427227869
"46",1350,990,"wt",0.6324712644,0.0449046139
"47",1380,1020,"wt",0.6120689655,0.0453873001
"48",1410,1050,"wt",0.708908046,0.0431233788
