"","Dec_time","Condition","date","Dec_ZT_time","mean_of_sleep_counts","sem"
"1",0,"wt",2024-02-24,1080,0.724137931034483,0.0844651635442475
"2",1,"wt",2024-02-24,1081,0.689655172413793,0.0874297504891569
"3",2,"wt",2024-02-24,1082,0.689655172413793,0.0874297504891569
"4",3,"wt",2024-02-24,1083,0.551724137931034,0.0939841577750685
"5",4,"wt",2024-02-24,1084,0.551724137931034,0.0939841577750685
"6",5,"wt",2024-02-24,1085,0.517241379310345,0.0944349237077873
"7",6,"wt",2024-02-24,1086,0.517241379310345,0.0944349237077873
"8",7,"wt",2024-02-24,1087,0.517241379310345,0.0944349237077873
"9",8,"wt",2024-02-24,1088,0.620689655172414,0.0916970959063364
"10",9,"wt",2024-02-24,1089,0.620689655172414,0.0916970959063364
"11",10,"wt",2024-02-24,1090,0.689655172413793,0.0874297504891569
"12",11,"wt",2024-02-24,1091,0.655172413793103,0.0898255296985737
"13",12,"wt",2024-02-24,1092,0.586206896551724,0.0930760769837004
"14",13,"wt",2024-02-24,1093,0.620689655172414,0.0916970959063364
"15",14,"wt",2024-02-24,1094,0.655172413793103,0.0898255296985737
"16",15,"wt",2024-02-24,1095,0.724137931034483,0.0844651635442475
"17",16,"wt",2024-02-24,1096,0.793103448275862,0.0765530555069953
"18",17,"wt",2024-02-24,1097,0.758620689655172,0.080869237238335
"19",18,"wt",2024-02-24,1098,0.724137931034483,0.0844651635442475
"20",19,"wt",2024-02-24,1099,0.758620689655172,0.080869237238335
"21",20,"wt",2024-02-24,1100,0.655172413793103,0.0898255296985737
"22",21,"wt",2024-02-24,1101,0.655172413793103,0.0898255296985737
"23",22,"wt",2024-02-24,1102,0.620689655172414,0.0916970959063364
"24",23,"wt",2024-02-24,1103,0.655172413793103,0.0898255296985737
"25",24,"wt",2024-02-24,1104,0.620689655172414,0.0916970959063364
"26",25,"wt",2024-02-24,1105,0.586206896551724,0.0930760769837004
"27",26,"wt",2024-02-24,1106,0.620689655172414,0.0916970959063364
"28",27,"wt",2024-02-24,1107,0.655172413793103,0.0898255296985737
"29",28,"wt",2024-02-24,1108,0.689655172413793,0.0874297504891569
"30",29,"wt",2024-02-24,1109,0.689655172413793,0.0874297504891569
"31",30,"wt",2024-02-24,1110,0.724137931034483,0.0844651635442475
"32",31,"wt",2024-02-24,1111,0.724137931034483,0.0844651635442475
"33",32,"wt",2024-02-24,1112,0.758620689655172,0.080869237238335
"34",33,"wt",2024-02-24,1113,0.724137931034483,0.0844651635442475
"35",34,"wt",2024-02-24,1114,0.689655172413793,0.0874297504891569
"36",35,"wt",2024-02-24,1115,0.724137931034483,0.0844651635442475
"37",36,"wt",2024-02-24,1116,0.724137931034483,0.0844651635442475
"38",37,"wt",2024-02-24,1117,0.689655172413793,0.0874297504891569
"39",38,"wt",2024-02-24,1118,0.689655172413793,0.0874297504891569
"40",39,"wt",2024-02-24,1119,0.689655172413793,0.0874297504891569
"41",40,"wt",2024-02-24,1120,0.586206896551724,0.0930760769837004
"42",41,"wt",2024-02-24,1121,0.586206896551724,0.0930760769837004
"43",42,"wt",2024-02-24,1122,0.620689655172414,0.0916970959063364
"44",43,"wt",2024-02-24,1123,0.655172413793103,0.0898255296985737
"45",44,"wt",2024-02-24,1124,0.655172413793103,0.0898255296985737
"46",45,"wt",2024-02-24,1125,0.724137931034483,0.0844651635442475
"47",46,"wt",2024-02-24,1126,0.758620689655172,0.080869237238335
"48",47,"wt",2024-02-24,1127,0.758620689655172,0.080869237238335
"49",48,"wt",2024-02-24,1128,0.758620689655172,0.080869237238335
"50",49,"wt",2024-02-24,1129,0.724137931034483,0.0844651635442475
"51",50,"wt",2024-02-24,1130,0.758620689655172,0.080869237238335
"52",51,"wt",2024-02-24,1131,0.758620689655172,0.080869237238335
"53",52,"wt",2024-02-24,1132,0.758620689655172,0.080869237238335
"54",53,"wt",2024-02-24,1133,0.724137931034483,0.0844651635442475
"55",54,"wt",2024-02-24,1134,0.724137931034483,0.0844651635442475
"56",55,"wt",2024-02-24,1135,0.689655172413793,0.0874297504891569
"57",56,"wt",2024-02-24,1136,0.689655172413793,0.0874297504891569
"58",57,"wt",2024-02-24,1137,0.620689655172414,0.0916970959063364
"59",58,"wt",2024-02-24,1138,0.655172413793103,0.0898255296985737
"60",59,"wt",2024-02-24,1139,0.689655172413793,0.0874297504891569
"61",60,"wt",2024-02-24,1140,0.689655172413793,0.0874297504891569
"62",61,"wt",2024-02-24,1141,0.689655172413793,0.0874297504891569
"63",62,"wt",2024-02-24,1142,0.724137931034483,0.0844651635442475
"64",63,"wt",2024-02-24,1143,0.758620689655172,0.080869237238335
"65",64,"wt",2024-02-24,1144,0.724137931034483,0.0844651635442475
"66",65,"wt",2024-02-24,1145,0.758620689655172,0.080869237238335
"67",66,"wt",2024-02-24,1146,0.793103448275862,0.0765530555069953
"68",67,"wt",2024-02-24,1147,0.793103448275862,0.0765530555069953
"69",68,"wt",2024-02-24,1148,0.724137931034483,0.0844651635442475
"70",69,"wt",2024-02-24,1149,0.758620689655172,0.080869237238335
"71",70,"wt",2024-02-24,1150,0.758620689655172,0.080869237238335
"72",71,"wt",2024-02-24,1151,0.758620689655172,0.080869237238335
"73",72,"wt",2024-02-24,1152,0.793103448275862,0.0765530555069953
"74",73,"wt",2024-02-24,1153,0.793103448275862,0.0765530555069953
"75",74,"wt",2024-02-24,1154,0.758620689655172,0.080869237238335
"76",75,"wt",2024-02-24,1155,0.758620689655172,0.080869237238335
"77",76,"wt",2024-02-24,1156,0.793103448275862,0.0765530555069953
"78",77,"wt",2024-02-24,1157,0.689655172413793,0.0874297504891569
"79",78,"wt",2024-02-24,1158,0.689655172413793,0.0874297504891569
"80",79,"wt",2024-02-24,1159,0.689655172413793,0.0874297504891569
"81",80,"wt",2024-02-24,1160,0.758620689655172,0.080869237238335
"82",81,"wt",2024-02-24,1161,0.758620689655172,0.080869237238335
"83",82,"wt",2024-02-24,1162,0.758620689655172,0.080869237238335
"84",83,"wt",2024-02-24,1163,0.793103448275862,0.0765530555069953
"85",84,"wt",2024-02-24,1164,0.793103448275862,0.0765530555069953
"86",85,"wt",2024-02-24,1165,0.758620689655172,0.080869237238335
"87",86,"wt",2024-02-24,1166,0.793103448275862,0.0765530555069953
"88",87,"wt",2024-02-24,1167,0.793103448275862,0.0765530555069953
"89",88,"wt",2024-02-24,1168,0.793103448275862,0.0765530555069953
"90",89,"wt",2024-02-24,1169,0.793103448275862,0.0765530555069953
"91",90,"wt",2024-02-24,1170,0.758620689655172,0.080869237238335
"92",91,"wt",2024-02-24,1171,0.758620689655172,0.080869237238335
"93",92,"wt",2024-02-24,1172,0.689655172413793,0.0874297504891569
"94",93,"wt",2024-02-24,1173,0.689655172413793,0.0874297504891569
"95",94,"wt",2024-02-24,1174,0.620689655172414,0.0916970959063364
"96",95,"wt",2024-02-24,1175,0.655172413793103,0.0898255296985737
"97",96,"wt",2024-02-24,1176,0.620689655172414,0.0916970959063364
"98",97,"wt",2024-02-24,1177,0.620689655172414,0.0916970959063364
"99",98,"wt",2024-02-24,1178,0.689655172413793,0.0874297504891569
"100",99,"wt",2024-02-24,1179,0.758620689655172,0.080869237238335
"101",100,"wt",2024-02-24,1180,0.758620689655172,0.080869237238335
"102",101,"wt",2024-02-24,1181,0.724137931034483,0.0844651635442475
"103",102,"wt",2024-02-24,1182,0.724137931034483,0.0844651635442475
"104",103,"wt",2024-02-24,1183,0.689655172413793,0.0874297504891569
"105",104,"wt",2024-02-24,1184,0.689655172413793,0.0874297504891569
"106",105,"wt",2024-02-24,1185,0.689655172413793,0.0874297504891569
"107",106,"wt",2024-02-24,1186,0.724137931034483,0.0844651635442475
"108",107,"wt",2024-02-24,1187,0.724137931034483,0.0844651635442475
"109",108,"wt",2024-02-24,1188,0.724137931034483,0.0844651635442475
"110",109,"wt",2024-02-24,1189,0.758620689655172,0.080869237238335
"111",110,"wt",2024-02-24,1190,0.758620689655172,0.080869237238335
"112",111,"wt",2024-02-24,1191,0.758620689655172,0.080869237238335
"113",112,"wt",2024-02-24,1192,0.724137931034483,0.0844651635442475
"114",113,"wt",2024-02-24,1193,0.689655172413793,0.0874297504891569
"115",114,"wt",2024-02-24,1194,0.724137931034483,0.0844651635442475
"116",115,"wt",2024-02-24,1195,0.724137931034483,0.0844651635442475
