"","Channel","Condition","Light_status","mean_sleep_per_ind"
"1","Monitor9_ch20","wt","Day",0.282986111111111
"2","Monitor9_ch9","wt","Day",0.0663194444444444
"3","Monitor9_ch6","wt","Day",0.0201388888888889
"4","Monitor9_ch14","wt","Day",0.136458333333333
"5","Monitor9_ch5","wt","Day",0.0736111111111111
"6","Monitor9_ch27","wt","Day",0.108333333333333
"7","Monitor9_ch15","wt","Day",0.163194444444444
"8","Monitor9_ch29","wt","Day",0.222222222222222
"9","Monitor9_ch22","wt","Day",0.00659722222222222
"10","Monitor9_ch13","wt","Day",0.122569444444444
"11","Monitor9_ch10","wt","Day",0.224305555555556
"12","Monitor9_ch19","wt","Day",0.0138888888888889
"13","Monitor9_ch31","wt","Day",0.262152777777778
"14","Monitor9_ch17","wt","Day",0.124305555555556
"15","Monitor9_ch21","wt","Day",0.194791666666667
"16","Monitor9_ch25","wt","Day",0.245486111111111
"17","Monitor9_ch30","wt","Day",0.0368055555555556
"18","Monitor9_ch16","wt","Day",0.0975694444444444
"19","Monitor9_ch23","wt","Day",0.0236111111111111
"20","Monitor9_ch11","wt","Day",0.327430555555556
"21","Monitor9_ch12","wt","Day",0.377083333333333
"22","Monitor9_ch4","wt","Day",0.20625
"23","Monitor9_ch3","wt","Day",0.112152777777778
"24","Monitor9_ch18","wt","Day",0.150694444444444
"25","Monitor9_ch7","wt","Day",0.0795138888888889
"26","Monitor9_ch32","wt","Day",0.326388888888889
"27","Monitor9_ch28","wt","Day",0.000347222222222222
"28","Monitor9_ch8","wt","Day",0.284027777777778
"29","Monitor9_ch24","wt","Day",0.0989583333333333
"30","Monitor9_ch32","wt","Night",0.566063977746871
"31","Monitor9_ch10","wt","Night",0.668636995827538
"32","Monitor9_ch7","wt","Night",0.595618915159944
"33","Monitor9_ch16","wt","Night",0.911682892906815
"34","Monitor9_ch12","wt","Night",0.600834492350487
"35","Monitor9_ch31","wt","Night",0.851529902642559
"36","Monitor9_ch19","wt","Night",0.606745479833102
"37","Monitor9_ch20","wt","Night",0.645340751043115
"38","Monitor9_ch21","wt","Night",0.712447844228095
"39","Monitor9_ch25","wt","Night",0.657510431154381
"40","Monitor9_ch13","wt","Night",0.752781641168289
"41","Monitor9_ch24","wt","Night",0.686369958275382
"42","Monitor9_ch28","wt","Night",0.451668984700974
"43","Monitor9_ch23","wt","Night",0.692280945757997
"44","Monitor9_ch11","wt","Night",0.701321279554937
"45","Monitor9_ch3","wt","Night",0.444367176634214
"46","Monitor9_ch17","wt","Night",0.536509040333797
"47","Monitor9_ch22","wt","Night",0.522600834492351
"48","Monitor9_ch5","wt","Night",0.213490959666203
"49","Monitor9_ch4","wt","Night",0.635257301808067
"50","Monitor9_ch29","wt","Night",0.29798331015299
"51","Monitor9_ch15","wt","Night",0.659944367176634
"52","Monitor9_ch9","wt","Night",0.615438108484006
"53","Monitor9_ch6","wt","Night",0.590055632823366
"54","Monitor9_ch18","wt","Night",0.615785813630042
"55","Monitor9_ch30","wt","Night",0.493393602225313
"56","Monitor9_ch8","wt","Night",0.835187760778859
"57","Monitor9_ch14","wt","Night",0.62865090403338
"58","Monitor9_ch27","wt","Night",0.634909596662031
