Channel,Time,Value,Bout_Length
data_3,2024-02-24 00:00:00,0,49.0
data_3,2024-02-24 00:49:00,1,9.0
data_3,2024-02-24 00:58:00,0,19.0
data_3,2024-02-24 01:17:00,1,23.0
data_3,2024-02-24 01:40:00,0,34.0
data_3,2024-02-24 02:14:00,1,9.0
data_3,2024-02-24 02:23:00,0,23.0
data_3,2024-02-24 02:46:00,1,12.0
data_3,2024-02-24 02:58:00,0,3.0
data_3,2024-02-24 03:01:00,1,23.0
data_3,2024-02-24 03:24:00,0,2.0
data_3,2024-02-24 03:26:00,1,55.0
data_3,2024-02-24 04:21:00,0,3.0
data_3,2024-02-24 04:24:00,1,36.0
data_3,2024-02-24 05:00:00,0,4.0
data_3,2024-02-24 05:04:00,1,330.0
data_3,2024-02-24 10:34:00,0,1.0
data_3,2024-02-24 10:35:00,1,54.0
data_3,2024-02-24 11:29:00,0,6.0
data_3,2024-02-24 11:35:00,1,47.0
data_3,2024-02-24 12:22:00,0,2.0
data_3,2024-02-24 12:24:00,1,10.0
data_3,2024-02-24 12:34:00,0,3.0
data_3,2024-02-24 12:37:00,1,6.0
data_3,2024-02-24 12:43:00,0,2.0
data_3,2024-02-24 12:45:00,1,17.0
data_3,2024-02-24 13:02:00,0,5.0
data_3,2024-02-24 13:07:00,1,12.0
data_3,2024-02-24 13:19:00,0,10.0
data_3,2024-02-24 13:29:00,1,24.0
data_3,2024-02-24 13:53:00,0,2.0
data_3,2024-02-24 13:55:00,1,17.0
data_3,2024-02-24 14:12:00,0,2.0
data_3,2024-02-24 14:14:00,1,12.0
data_3,2024-02-24 14:26:00,0,15.0
data_3,2024-02-24 14:41:00,1,50.0
data_3,2024-02-24 15:31:00,0,6.0
data_3,2024-02-24 15:37:00,1,28.0
data_3,2024-02-24 16:05:00,0,3.0
data_3,2024-02-24 16:08:00,1,11.0
data_3,2024-02-24 16:19:00,0,15.0
data_3,2024-02-24 16:34:00,1,40.0
data_3,2024-02-24 17:14:00,0,4.0
data_3,2024-02-24 17:18:00,1,43.0
data_3,2024-02-24 18:01:00,0,2.0
data_3,2024-02-24 18:03:00,1,88.0
data_3,2024-02-24 19:31:00,0,6.0
data_3,2024-02-24 19:37:00,1,26.0
data_3,2024-02-24 20:03:00,0,7.0
data_3,2024-02-24 20:10:00,1,5.0
data_3,2024-02-24 20:15:00,0,31.0
data_3,2024-02-24 20:46:00,1,5.0
data_3,2024-02-24 20:51:00,0,4.0
data_3,2024-02-24 20:55:00,1,5.0
data_3,2024-02-24 21:00:00,0,22.0
data_3,2024-02-24 21:22:00,1,5.0
data_3,2024-02-24 21:27:00,0,32.0
data_3,2024-02-24 21:59:00,1,5.0
data_3,2024-02-24 22:04:00,0,9.0
data_3,2024-02-24 22:13:00,1,32.0
data_3,2024-02-24 22:45:00,0,7.0
data_3,2024-02-24 22:52:00,1,24.0
data_3,2024-02-24 23:16:00,0,29.0
data_3,2024-02-24 23:45:00,1,6.0
data_3,2024-02-24 23:51:00,0,48.0
data_3,2024-02-25 00:39:00,1,5.0
data_3,2024-02-25 00:44:00,0,39.0
data_3,2024-02-25 01:23:00,1,6.0
data_3,2024-02-25 01:29:00,0,5.0
data_3,2024-02-25 01:34:00,1,9.0
data_3,2024-02-25 01:43:00,0,31.0
data_3,2024-02-25 02:14:00,1,11.0
data_3,2024-02-25 02:25:00,0,4.0
data_3,2024-02-25 02:29:00,1,8.0
data_3,2024-02-25 02:37:00,0,4.0
data_3,2024-02-25 02:41:00,1,20.0
data_3,2024-02-25 03:01:00,0,20.0
data_3,2024-02-25 03:21:00,1,13.0
data_3,2024-02-25 03:34:00,0,3.0
data_3,2024-02-25 03:37:00,1,72.0
data_3,2024-02-25 04:49:00,0,5.0
data_3,2024-02-25 04:54:00,1,47.0
data_3,2024-02-25 05:41:00,0,8.0
data_3,2024-02-25 05:49:00,1,305.0
data_3,2024-02-25 10:54:00,0,5.0
data_3,2024-02-25 10:59:00,1,59.0
data_3,2024-02-25 11:58:00,0,8.0
data_3,2024-02-25 12:06:00,1,22.0
data_3,2024-02-25 12:28:00,0,32.0
data_3,2024-02-25 13:00:00,1,31.0
data_3,2024-02-25 13:31:00,0,15.0
data_3,2024-02-25 13:46:00,1,34.0
data_3,2024-02-25 14:20:00,0,47.0
data_3,2024-02-25 15:07:00,1,64.0
data_3,2024-02-25 16:11:00,0,7.0
data_3,2024-02-25 16:18:00,1,89.0
data_3,2024-02-25 17:47:00,0,1.0
data_3,2024-02-25 17:48:00,1,51.0
data_3,2024-02-25 18:39:00,0,1.0
data_3,2024-02-25 18:40:00,1,21.0
data_3,2024-02-25 19:01:00,0,7.0
data_3,2024-02-25 19:08:00,1,14.0
data_3,2024-02-25 19:22:00,0,3.0
data_3,2024-02-25 19:25:00,1,15.0
data_3,2024-02-25 19:40:00,0,38.0
data_3,2024-02-25 20:18:00,1,20.0
data_3,2024-02-25 20:38:00,0,4.0
data_3,2024-02-25 20:42:00,1,7.0
data_3,2024-02-25 20:49:00,0,132.0
data_3,2024-02-25 23:01:00,1,5.0
