,Unnamed: 0,Unnamed: 0,Channel,Channel,Condition,Condition,mean_sleep_per_ind,mean_sleep_per_ind
Light_status,Day,Night,Day,Night,Day,Night,Day,Night
Channel#,,,,,,,,
2,20,48,Monitor7_ch2,Monitor7_ch2,GR23E10>Dec2-P384R m1,GR23E10>Dec2-P384R m1,0.502777777777778,0.873748609566185
3,10,38,Monitor7_ch3,Monitor7_ch3,GR23E10>Dec2-P384R m1,GR23E10>Dec2-P384R m1,0.065,0.741657397107898
4,25,53,Monitor7_ch4,Monitor7_ch4,GR23E10>Dec2-P384R m1,GR23E10>Dec2-P384R m1,0.367777777777778,0.871802002224694
5,28,47,Monitor7_ch5,Monitor7_ch5,GR23E10>Dec2-P384R m1,GR23E10>Dec2-P384R m1,0.5725,0.868464961067853
6,18,54,Monitor7_ch6,Monitor7_ch6,GR23E10>Dec2-P384R m1,GR23E10>Dec2-P384R m1,0.211111111111111,0.733592880978865
7,26,57,Monitor7_ch7,Monitor7_ch7,GR23E10>Dec2-P384R m1,GR23E10>Dec2-P384R m1,0.290555555555556,0.82313681868743
8,17,45,Monitor7_ch8,Monitor7_ch8,GR23E10>Dec2-P384R m1,GR23E10>Dec2-P384R m1,0.0858333333333333,0.803392658509455
9,12,41,Monitor7_ch9,Monitor7_ch9,GR23E10>Dec2-P384R m1,GR23E10>Dec2-P384R m1,0.261388888888889,0.801167964404894
10,9,60,Monitor7_ch10,Monitor7_ch10,GR23E10>Dec2-P384R m1,GR23E10>Dec2-P384R m1,0.1825,0.85817575083426
11,24,55,Monitor7_ch11,Monitor7_ch11,GR23E10>Dec2-P384R m1,GR23E10>Dec2-P384R m1,0.0094444444444444,0.650444938820912
12,21,50,Monitor7_ch12,Monitor7_ch12,GR23E10>Dec2-P384R m1,GR23E10>Dec2-P384R m1,0.209722222222222,0.846496106785317
13,7,34,Monitor7_ch13,Monitor7_ch13,GR23E10>Dec2-P384R m1,GR23E10>Dec2-P384R m1,0.177222222222222,0.829532814238042
14,14,33,Monitor7_ch14,Monitor7_ch14,GR23E10>Dec2-P384R m1,GR23E10>Dec2-P384R m1,0.153888888888889,0.717463848720801
15,2,42,Monitor7_ch15,Monitor7_ch15,GR23E10>Dec2-P384R m1,GR23E10>Dec2-P384R m1,0.0213888888888889,0.71579532814238
16,8,52,Monitor7_ch16,Monitor7_ch16,GR23E10>Dec2-P384R m1,GR23E10>Dec2-P384R m1,0.292222222222222,0.826195773081201
17,30,36,Monitor7_ch17,Monitor7_ch17,GR23E10>Dec2-P384R m1,GR23E10>Dec2-P384R m1,0.0883333333333333,0.738320355951057
18,23,44,Monitor7_ch18,Monitor7_ch18,GR23E10>Dec2-P384R m1,GR23E10>Dec2-P384R m1,0.531944444444444,0.839265850945495
19,11,51,Monitor7_ch19,Monitor7_ch19,GR23E10>Dec2-P384R m1,GR23E10>Dec2-P384R m1,0.206388888888889,0.78559510567297
20,31,35,Monitor7_ch20,Monitor7_ch20,GR23E10>Dec2-P384R m1,GR23E10>Dec2-P384R m1,0.126111111111111,0.74916573971079
21,13,32,Monitor7_ch21,Monitor7_ch21,GR23E10>Dec2-P384R m1,GR23E10>Dec2-P384R m1,0.278888888888889,0.938542825361513
22,29,43,Monitor7_ch22,Monitor7_ch22,GR23E10>Dec2-P384R m1,GR23E10>Dec2-P384R m1,0.0558333333333333,0.806451612903226
23,22,39,Monitor7_ch23,Monitor7_ch23,GR23E10>Dec2-P384R m1,GR23E10>Dec2-P384R m1,0.234444444444444,0.831201334816463
24,6,59,Monitor7_ch24,Monitor7_ch24,GR23E10>Dec2-P384R m1,GR23E10>Dec2-P384R m1,0.191666666666667,0.727753058954394
25,15,56,Monitor7_ch25,Monitor7_ch25,GR23E10>Dec2-P384R m1,GR23E10>Dec2-P384R m1,0.242777777777778,0.942992213570634
26,16,46,Monitor7_ch26,Monitor7_ch26,GR23E10>Dec2-P384R m1,GR23E10>Dec2-P384R m1,0.342777777777778,0.862625139043382
27,4,37,Monitor7_ch27,Monitor7_ch27,GR23E10>Dec2-P384R m1,GR23E10>Dec2-P384R m1,0.5775,0.914071190211346
28,5,40,Monitor7_ch28,Monitor7_ch28,GR23E10>Dec2-P384R m1,GR23E10>Dec2-P384R m1,0.0080555555555555,0.635428253615128
29,3,61,Monitor7_ch29,Monitor7_ch29,GR23E10>Dec2-P384R m1,GR23E10>Dec2-P384R m1,0.23,0.697719688542825
30,19,49,Monitor7_ch30,Monitor7_ch30,GR23E10>Dec2-P384R m1,GR23E10>Dec2-P384R m1,0.160277777777778,0.811179087875417
31,1,62,Monitor7_ch31,Monitor7_ch31,GR23E10>Dec2-P384R m1,GR23E10>Dec2-P384R m1,0.229166666666667,0.949110122358176
32,27,58,Monitor7_ch32,Monitor7_ch32,GR23E10>Dec2-P384R m1,GR23E10>Dec2-P384R m1,0.248611111111111,0.864293659621802
